R,M,y
R1,A,6.7
R1,A,7.8
R1,A,5.5
R1,A,8.4
R1,A,7
R1,A,7.8
R1,A,8.6
R1,A,7.4
R1,A,5.8
R1,A,7
R1,B,7
R1,B,7.8
R1,B,6.8
R1,B,7
R1,B,7.5
R1,B,6.5
R1,B,5.8
R1,B,7.1
R1,B,6.5
R1,B,5.5
R2,A,9.9
R2,A,8.4
R2,A,10.4
R2,A,9.3
R2,A,10.7
R2,A,11.9
R2,A,7.1
R2,A,6.4
R2,A,8.6
R2,A,10.6
R2,B,9.9
R2,B,9.6
R2,B,10.2
R2,B,10.4
R2,B,11.3
R2,B,9.1
R2,B,9
R2,B,10.6
R2,B,11.7
R2,B,9.6
R3,A,10.4
R3,A,8.1
R3,A,10.6
R3,A,8.7
R3,A,10.7
R3,A,9.1
R3,A,8.8
R3,A,8.1
R3,A,7.8
R3,A,8
R3,B,9.9
R3,B,9.6
R3,B,10.4
R3,B,10.4
R3,B,11.3
R3,B,10.9
R3,B,8
R3,B,10.2
R3,B,6.1
R3,B,10.7
R4,A,9.3
R4,A,9.3
R4,A,7.8
R4,A,7.8
R4,A,9.3
R4,A,10.2
R4,A,8.7
R4,A,8.6
R4,A,9.3
R4,A,7.2
R4,B,11
R4,B,9.3
R4,B,11
R4,B,9
R4,B,8.4
R4,B,8.4
R4,B,6.8
R4,B,7.2
R4,B,8.1
R4,B,11
